CASE_NUMBER,CSAT_SCORE,CALLS,CHATS,EMAILS,AGENT_COMPANY,AGENT_TEAM,REASON_CODE,REASON,PART_ORDERS,SERVICE_ORDERS,ATTEMPTS_TO_RESOLVE,CHANNEL,PRODUCT_COMPANY,MODEL
23318111,5,1,0,0,I,11e9f553-0a31-47ab-80f3-005056a14056,-2788935051357887738,2267727583871591927,1,0,1,Phone,-5433978023225876675,-7458224457533427235
23313103,3,2,0,0,E,bb2741fd-bac0-4579-9858-5a1a99da1d5d,-2788935051357887738,2267727583871591927,0,0,1,Phone,-5433978023225876675,-7458224457533427235
23313795,5,3,0,0,E,bb2741fd-bac0-4579-9858-5a1a99da1d5d,6989169297197977926,2267727583871591927,0,0,1,Phone,-8694058840750967938,-1232325017302285140
23289457,3,4,2,1,I,11e9f553-0a31-4796-80f3-005056a14056,-3814091560437267992,6990482230739798774,3,2,1,Phone,-8694058840750967938,6260370108219779077
23321363,1,,1,3,E,d67f9ebf-b9b7-49c4-9789-2e6eee885966,-8880772731085756355,3204850718479119868,2,1,,Phone,228655033422864514,665031179345229076
23312939,1,,1,3,E,d67f9ebf-b9b7-49c4-9789-2e6eee885966,-110139703306373720,-1937821200793216602,1,0,3+,Phone,228655033422864514,665031179345229076
23313271,5,3,0,1,I,11e9f553-0a31-4796-80f3-005056a14056,-110139703306373720,-1937821200793216602,1,1,,Phone,-8694058840750967938,-1385184135612544017
23347001,5,3,0,0,E,d67f9ebf-b9b7-49c4-9789-2e6eee885966,-110139703306373720,-1937821200793216602,2,1,,Phone,-8694058840750967938,6335993667394020540
23315907,3,,0,0,E,bb2741fd-bac0-4579-9858-5a1a99da1d5d,-2788935051357887738,2267727583871591927,0,0,1,Chat,-5433978023225876675,-7458224457533427235
23268279,5,7,0,0,E,d67f9ebf-b9b7-49c4-9789-2e6eee885966,-3814091560437267992,6990482230739798774,6,5,1,Phone,-8694058840750967938,-7803678155569154666
23277650,5,8,0,0,E,d67f9ebf-b9b7-49c4-9789-2e6eee885966,-8880772731085756355,3204850718479119868,7,6,1,Phone,-8694058840750967938,-7803678155569154666
23313509,5,,0,0,E,11eb1876-9210-7a7f-80fc-005056a1411d,-4131266100954257875,-1937821200793216602,0,0,1,Phone,-3245924413532258006,-7346366561677825964
